dataset,seed,num_points,dimensions,algorithm,eta,covering_number,runtime_seconds
MNIST_Subset,42,5000,784,Farthest-First,0.6158579753089456,5000,0.07233760799863376
MNIST_Subset,42,5000,784,Greedy,0.6158579753089456,5000,0.08868775799965078
MNIST_Subset,42,5000,784,Uncovered-First,15.822892812230254,1,0.003618202999859932
MNIST_Subset,42,5000,784,Farthest-First,15.822892812230254,1,0.00042390399903524667
MNIST_Subset,42,5000,784,Greedy,15.822892812230254,1,0.053175484001258155
MNIST_Subset,42,5000,784,Uncovered-First,14.147246140754705,2,0.002856113998859655
MNIST_Subset,42,5000,784,Farthest-First,14.147246140754705,2,0.00037373699888121337
MNIST_Subset,42,5000,784,Greedy,14.147246140754705,1,0.053012487000160036
MNIST_Subset,42,5000,784,Uncovered-First,12.649050697758492,4,0.0030028450000827434
MNIST_Subset,42,5000,784,Farthest-First,12.649050697758492,5,0.0006049510011507664
MNIST_Subset,42,5000,784,Greedy,12.649050697758492,3,0.05488798599981237
MNIST_Subset,42,5000,784,Uncovered-First,11.309514372097386,11,0.002832759999364498
MNIST_Subset,42,5000,784,Farthest-First,11.309514372097386,14,0.0004969029996573227
MNIST_Subset,42,5000,784,Greedy,11.309514372097386,14,0.04961044199990283
MNIST_Subset,42,5000,784,Uncovered-First,10.11183513995585,39,0.003110840998488129
MNIST_Subset,42,5000,784,Farthest-First,10.11183513995585,53,0.0010356780003348831
MNIST_Subset,42,5000,784,Greedy,10.11183513995585,37,0.05246336399977736
MNIST_Subset,42,5000,784,Uncovered-First,9.04099031430679,132,0.004524058998867986
MNIST_Subset,42,5000,784,Farthest-First,9.04099031430679,144,0.0037901939995208522
MNIST_Subset,42,5000,784,Greedy,9.04099031430679,128,0.05372840899872244
MNIST_Subset,42,5000,784,Uncovered-First,8.08354811288449,360,0.005263250001007691
MNIST_Subset,42,5000,784,Farthest-First,8.08354811288449,391,0.0068790229997830465
MNIST_Subset,42,5000,784,Greedy,8.08354811288449,328,0.05580877200009127
MNIST_Subset,42,5000,784,Uncovered-First,7.227499181136837,845,0.014621861000705394
MNIST_Subset,42,5000,784,Farthest-First,7.227499181136837,886,0.01701627699912933
MNIST_Subset,42,5000,784,Greedy,7.227499181136837,781,0.057312373000968364
MNIST_Subset,42,5000,784,Uncovered-First,6.462105956921653,1584,0.015270538000550005
MNIST_Subset,42,5000,784,Farthest-First,6.462105956921653,1653,0.02551144800054317
MNIST_Subset,42,5000,784,Greedy,6.462105956921653,1448,0.0649527149998903
MNIST_Subset,42,5000,784,Uncovered-First,5.777767987503798,2438,0.022800849999839556
MNIST_Subset,42,5000,784,Farthest-First,5.777767987503798,2529,0.03902466699946672
MNIST_Subset,42,5000,784,Greedy,5.777767987503798,2285,0.0709259880004538
MNIST_Subset,42,5000,784,Uncovered-First,5.165901509502038,3287,0.029132562000086182
MNIST_Subset,42,5000,784,Farthest-First,5.165901509502038,3325,0.05023408200031554
MNIST_Subset,42,5000,784,Greedy,5.165901509502038,3169,0.08358293099990988
MNIST_Subset,42,5000,784,Uncovered-First,4.618831781337237,3885,0.03505643499920552
MNIST_Subset,42,5000,784,Farthest-First,4.618831781337237,3922,0.06104487400079961
MNIST_Subset,42,5000,784,Greedy,4.618831781337237,3800,0.07891975500024273
MNIST_Subset,42,5000,784,Uncovered-First,4.129696817690075,4254,0.036908664000293356
MNIST_Subset,42,5000,784,Farthest-First,4.129696817690075,4268,0.05926255099984701
MNIST_Subset,42,5000,784,Greedy,4.129696817690075,4224,0.08313295699917944
MNIST_Subset,42,5000,784,Uncovered-First,3.6923613184938215,4451,0.040415976000076625
MNIST_Subset,42,5000,784,Farthest-First,3.6923613184938215,4461,0.06692406199908874
MNIST_Subset,42,5000,784,Greedy,3.6923613184938215,4435,0.08320882999942114
MNIST_Subset,42,5000,784,Uncovered-First,3.301339712859425,4566,0.038365706999684335
MNIST_Subset,42,5000,784,Farthest-First,3.301339712859425,4576,0.06611132400030328
MNIST_Subset,42,5000,784,Greedy,3.301339712859425,4548,0.08271923199936282
MNIST_Subset,42,5000,784,Uncovered-First,2.9517273526602157,4646,0.037336047000280814
MNIST_Subset,42,5000,784,Farthest-First,2.9517273526602157,4658,0.06536466900070081
MNIST_Subset,42,5000,784,Greedy,2.9517273526602157,4627,0.08409709800071141
MNIST_Subset,42,5000,784,Uncovered-First,2.639138992726097,4742,0.037317754000468994
MNIST_Subset,42,5000,784,Farthest-First,2.639138992726097,4739,0.06547436799883144
MNIST_Subset,42,5000,784,Greedy,2.639138992726097,4714,0.08677810500012129
MNIST_Subset,42,5000,784,Uncovered-First,2.359653785994201,4807,0.03847377099918958
MNIST_Subset,42,5000,784,Farthest-First,2.359653785994201,4811,0.06893024399869319
MNIST_Subset,42,5000,784,Greedy,2.359653785994201,4780,0.08420251600000483
MNIST_Subset,42,5000,784,Uncovered-First,2.109766103681163,4874,0.03914567299943883
MNIST_Subset,42,5000,784,Farthest-First,2.109766103681163,4881,0.07010766699931992
MNIST_Subset,42,5000,784,Greedy,2.109766103681163,4859,0.08869986399986374
MNIST_Subset,42,5000,784,Uncovered-First,1.8863415636063714,4939,0.04046227800063207
